fold,best_uno,tau
0,0.6028376742414007,1291.4
1,0.654865264330151,1195.2000000000003
2,0.5226974096578108,1237.2
3,0.5376784488867029,1241.6000000000001
4,0.570464321679469,1214.0000000000002
